STT,CMND,DOTTHI,MADOTTHI,NGAYTHI,NAMTHI,MAMONTHI,TENMONTHI,DIEM,THANGDIEM,MADVTCTDL,TENDVTCTDL
7,TS_0004,5,CTU255,06/06/2025,2025,N1_VS,Tiếng Anh - VSAT,81,150,TCT,Trường Đại học Cần Thơ
8,TS_0004,5,CTU255,06/06/2025,2025,LI_VS,Vật lí - VSAT,68,150,TCT,Trường Đại học Cần Thơ
9,TS_0004,5,CTU255,06/06/2025,2025,TO_VS,Toán - VSAT,87,150,TCT,Trường Đại học Cần Thơ
10,TS_0004,5,HUBSA255,29/06/2025,2025,M1,Toán,"88,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
11,TS_0004,5,HUBSA255,29/06/2025,2025,M8,Tiếng Anh,85,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
12,TS_0004,5,HUBSA255,29/06/2025,2025,M2,Vật lý,66,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
20,TS_0009,4,256,29/06/2025,2025,VA_VS,Ngữ văn - VSAT,"119,5",150,DMS,Trường Đại học Tài chính - Marketing
21,TS_0009,4,256,29/06/2025,2025,N1_VS,Tiếng Anh - VSAT,50,150,DMS,Trường Đại học Tài chính - Marketing
22,TS_0009,4,256,29/06/2025,2025,TO_VS,Toán - VSAT,"42,5",150,DMS,Trường Đại học Tài chính - Marketing
32,TS_0016,4,257,30/06/2025,2025,N1_VS,Tiếng Anh - VSAT,102,150,DMS,Trường Đại học Tài chính - Marketing
33,TS_0016,4,257,30/06/2025,2025,LI_VS,Vật lí - VSAT,"101,5",150,DMS,Trường Đại học Tài chính - Marketing
34,TS_0016,4,257,30/06/2025,2025,TO_VS,Toán - VSAT,103,150,DMS,Trường Đại học Tài chính - Marketing
37,TS_0018,4,HUBSA254,01/06/2025,2025,M1,Toán,117,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
38,TS_0018,4,HUBSA254,01/06/2025,2025,M2,Vật lý,"83,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
39,TS_0018,4,HUBSA254,01/06/2025,2025,M3,Hoá,67,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
95,TS_0040,1,251,12/04/2025,2025,TO_VS,Toán - VSAT,"80,5",150,DMS,Trường Đại học Tài chính - Marketing
96,TS_0040,1,251,12/04/2025,2025,N1_VS,Tiếng Anh - VSAT,104,150,DMS,Trường Đại học Tài chính - Marketing
97,TS_0040,1,251,12/04/2025,2025,VA_VS,Ngữ văn - VSAT,118,150,DMS,Trường Đại học Tài chính - Marketing
98,TS_0040,3,255,24/05/2025,2025,N1_VS,Tiếng Anh - VSAT,114,150,DMS,Trường Đại học Tài chính - Marketing
99,TS_0040,3,255,24/05/2025,2025,TO_VS,Toán - VSAT,107,150,DMS,Trường Đại học Tài chính - Marketing
100,TS_0040,3,255,24/05/2025,2025,VA_VS,Ngữ văn - VSAT,"119,5",150,DMS,Trường Đại học Tài chính - Marketing
101,TS_0041,3,HUBSA253,18/05/2025,2025,M1,Toán,"113,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
102,TS_0041,3,HUBSA253,18/05/2025,2025,M3,Hoá,95,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
103,TS_0041,3,HUBSA253,18/05/2025,2025,M2,Vật lý,92,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
105,TS_0041,5,HUBSA255,29/06/2025,2025,M3,Hoá,"81,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
106,TS_0041,5,HUBSA255,29/06/2025,2025,M2,Vật lý,"76,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
107,TS_0041,5,HUBSA255,29/06/2025,2025,M1,Toán,94,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
108,TS_0041,4,HUBSA254,01/06/2025,2025,M3,Hoá,75,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
109,TS_0041,4,HUBSA254,01/06/2025,2025,M2,Vật lý,97,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
110,TS_0041,4,HUBSA254,01/06/2025,2025,M1,Toán,118,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
120,TS_0045,6,257,07/06/2025,2025,HO_VS,Hóa học - VSAT,"115,5",150,NHH,Học viện Ngân hàng
121,TS_0045,6,257,07/06/2025,2025,TO_VS,Toán - VSAT,"133,5",150,NHH,Học viện Ngân hàng
122,TS_0045,6,257,07/06/2025,2025,LI_VS,Vật lí - VSAT,"122,5",150,NHH,Học viện Ngân hàng
123,TS_0045,2,253,05/04/2025,2025,HO_VS,Hóa học - VSAT,132,150,NHH,Học viện Ngân hàng
124,TS_0045,2,253,05/04/2025,2025,TO_VS,Toán - VSAT,"135,5",150,NHH,Học viện Ngân hàng
125,TS_0045,2,253,05/04/2025,2025,LI_VS,Vật lí - VSAT,"114,5",150,NHH,Học viện Ngân hàng
126,TS_0045,1,252,22/03/2025,2025,HO_VS,Hóa học - VSAT,120,150,NHH,Học viện Ngân hàng
127,TS_0045,1,252,22/03/2025,2025,TO_VS,Toán - VSAT,117,150,NHH,Học viện Ngân hàng
128,TS_0045,1,252,22/03/2025,2025,LI_VS,Vật lí - VSAT,"111,5",150,NHH,Học viện Ngân hàng
129,TS_0045,5,256,24/05/2025,2025,HO_VS,Hóa học - VSAT,118,150,NHH,Học viện Ngân hàng
130,TS_0045,5,256,24/05/2025,2025,TO_VS,Toán - VSAT,138,150,NHH,Học viện Ngân hàng
131,TS_0045,5,256,24/05/2025,2025,LI_VS,Vật lí - VSAT,124,150,NHH,Học viện Ngân hàng
143,TS_0051,6,CTU256,17/07/2025,2025,N1_VS,Tiếng Anh - VSAT,"94,5",150,TCT,Trường Đại học Cần Thơ
144,TS_0051,6,CTU256,17/07/2025,2025,VA_VS,Ngữ văn - VSAT,"108,5",150,TCT,Trường Đại học Cần Thơ
145,TS_0051,6,CTU256,17/07/2025,2025,LI_VS,Vật lí - VSAT,117,150,TCT,Trường Đại học Cần Thơ
146,TS_0051,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,114,150,TCT,Trường Đại học Cần Thơ
153,TS_0056,3,253,10/05/2025,2025,N1_VS,Tiếng Anh - VSAT,74,150,SGD,Trường Đại học Sài Gòn
154,TS_0056,2,HUBSA252,20/04/2025,2025,M8,Tiếng Anh,"100,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
155,TS_0056,2,HUBSA252,20/04/2025,2025,M1,Toán,"116,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
156,TS_0056,2,HUBSA252,20/04/2025,2025,M2,Vật lý,"67,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
163,TS_0056,5,HUBSA255,29/06/2025,2025,M1,Toán,"118,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
164,TS_0056,5,HUBSA255,29/06/2025,2025,M2,Vật lý,"105,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
165,TS_0056,5,HUBSA255,29/06/2025,2025,M8,Tiếng Anh,"113,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
166,TS_0056,4,254,11/05/2025,2025,VA_VS,Ngữ văn - VSAT,"116,5",150,SGD,Trường Đại học Sài Gòn
